Quantity,Name,Set,Collector number,Category,Finish
1,"Bruna, Light of Alabaster",AVR,5,Commander,
1,Lurrus of the Dream-Den,IKO,226,Companion,foil
2,Lightning Bolt,LEA,161,Removal,
1,Lightning Bolt,LEA,161,Removal,foil
1,Lightning Bolt,LEA,161,Sideboard,
2,Sol Ring,LTC,284,Artifacts,
4,Branchloft Pathway // Boulderloft Pathway,ZNR,258,Lands,
1,Wrath of God,10E,56,Removal,
1,Chalice of the Void,MRD,44,Artifacts,
4,Æther Vial,DST,91,Artifacts,
1,Jeweled Lotus,CMR,319★,Artifacts,etched
1,Mana Crypt,2XM,270,Maybe pile,
